Model,Balanced Accuracy,Recall Score,Precision Score,F1 Score
LogisticRegression,0.7777107359669655,0.7920818988947274,0.7956718965414422,0.7905035585044342
XGBoost,0.7709090306050785,0.7944373980793622,0.8040100547920226,0.7883324276335523
MultinomialNB,0.6949511408729779,0.7029353143685451,0.7145014566770693,0.7068204952078242
RandomForest,0.6558716346643964,0.6926979525276318,0.6971449536251086,0.6792245585976753
KNN,0.5032906197655981,0.4696502989672042,0.623175280886457,0.444994667111224
